A_0,η_0,A_1,η_1,skill_factor,success,labor_efficiency,Y_0,L_0,error_type
1.0,1.0,1.5,0.8,4.0,true,0.998402555910543,0.8305354042074188,0.7591600509239095,none
1.0,1.0,1.5,0.8,5.0,true,0.998003992015968,0.8302753636149987,0.7591083499143013,none
1.0,1.0,1.5,0.9,0.5,true,0.9999500024998749,0.8315447578833217,0.7593605441193815,none
1.0,1.0,1.5,0.9,1.0,true,0.9999000099990001,0.8315121559208826,0.7593540728261062,none
1.0,1.0,1.5,0.9,2.0,true,0.9998000399920016,0.831446960440015,0.7593411309943888,none
1.0,1.0,1.5,0.9,3.0,true,0.9997000899730081,0.8313817762152731,0.7593281901689576,none
1.0,1.0,1.5,0.9,4.0,true,0.9996001599360256,0.8313166032435901,0.7593152503496217,none
1.0,1.0,1.5,0.9,5.0,true,0.9995002498750625,0.8312514415219012,0.7593023115361915,none
1.0,1.0,1.5,0.95,0.5,true,0.999987500156248,0.8315692112025934,0.7593653977544773,none
1.0,1.0,1.5,0.95,1.0,true,0.9999750006249845,0.8315610599202108,0.7593637798603837,none
1.0,1.0,1.5,0.95,2.0,true,0.9999500024998749,0.8315447578833217,0.7593605441193815,none
1.0,1.0,1.5,0.95,3.0,true,0.9999250056245781,0.8315284565502283,0.7593573084412899,none
1.0,1.0,1.5,0.95,4.0,true,0.9999000099990001,0.8315121559208826,0.7593540728261062,none
1.0,1.0,1.5,0.95,5.0,true,0.9998750156230471,0.8314958559952361,0.7593508372738271,none
1.0,1.0,1.5,1.0,0.5,true,1.0,0.8315773626609428,0.7593670156642995,none
1.0,1.0,1.5,1.0,1.0,true,1.0,0.8315773626609428,0.7593670156642995,none
1.0,1.0,1.5,1.0,2.0,true,1.0,0.8315773626609428,0.7593670156642995,none
1.0,1.0,1.5,1.0,3.0,true,1.0,0.8315773626609428,0.7593670156642995,none
1.0,1.0,1.5,1.0,4.0,true,1.0,0.8315773626609428,0.7593670156642995,none
1.0,1.0,1.5,1.0,5.0,true,1.0,0.8315773626609428,0.7593670156642995,none
1.0,1.0,1.5,1.05,0.5,true,0.999987500156248,0.8315692112025934,0.7593653977544773,none
1.0,1.0,1.5,1.05,1.0,true,0.9999750006249845,0.8315610599202108,0.7593637798603837,none
1.0,1.0,1.5,1.05,2.0,true,0.9999500024998749,0.8315447578833217,0.7593605441193815,none
1.0,1.0,1.5,1.05,3.0,true,0.9999250056245781,0.8315284565502283,0.7593573084412899,none
1.0,1.0,1.5,1.05,4.0,true,0.9999000099990001,0.8315121559208826,0.7593540728261062,none
1.0,1.0,1.5,1.05,5.0,true,0.9998750156230471,0.8314958559952361,0.7593508372738271,none
1.0,1.0,1.5,1.1,0.5,true,0.9999500024998749,0.8315447578833217,0.7593605441193815,none
1.0,1.0,1.5,1.1,1.0,true,0.9999000099990001,0.8315121559208826,0.7593540728261062,none
1.0,1.0,1.5,1.1,2.0,true,0.9998000399920016,0.831446960440015,0.7593411309943888,none
1.0,1.0,1.5,1.1,3.0,true,0.9997000899730081,0.8313817762152731,0.7593281901689576,none
1.0,1.0,1.5,1.1,4.0,true,0.9996001599360256,0.8313166032435901,0.7593152503496217,none
1.0,1.0,1.5,1.1,5.0,true,0.9995002498750625,0.8312514415219012,0.7593023115361915,none
1.0,1.0,1.5,1.2,0.5,true,0.9998000399920016,0.831446960440015,0.7593411309943888,none
1.0,1.0,1.5,1.2,1.0,true,0.9996001599360256,0.8313166032435901,0.7593152503496217,none
1.0,1.0,1.5,1.2,2.0,true,0.9992006394884093,0.8310560238261631,0.7592635011294342,none
1.0,1.0,1.5,1.2,3.0,true,0.998801438274071,0.8307956242126717,0.7592117679915779,none
1.0,1.0,1.5,1.2,4.0,true,0.998402555910543,0.8305354042074188,0.7591600509239095,none
1.0,1.0,1.5,1.2,5.0,true,0.998003992015968,0.8302753636149987,0.7591083499143013,none
1.0,1.0,1.5,1.3,0.5,true,0.9995502024089159,0.8312840209766879,0.7593087808171803,none
1.0,1.0,1.5,1.3,1.0,true,0.9991008092716556,0.8309909070738207,0.7592505663377261,none
1.0,1.0,1.5,1.3,2.0,true,0.9982032341784787,0.8304053614968061,0.7591341984126053,none
1.0,1.0,1.5,1.3,3.0,true,0.9973072703700011,0.8298207237036888,0.7590179117507704,none
1.0,1.0,1.5,1.3,4.0,true,0.9964129135113591,0.8292369914757162,0.7589017062144496,none
1.0,1.0,1.5,1.3,5.0,true,0.9955201592832256,0.8286541626015633,0.7587855816662645,none
1.0,1.0,2.0,0.7,0.5,true,0.9995502024089159,0.7651224167759643,0.670902573168158,none
1.0,1.0,2.0,0.7,1.0,true,0.9991008092716556,0.764857461467418,0.6708574592535186,none
1.0,1.0,2.0,0.7,2.0,true,0.9982032341784787,0.7643281584690513,0.6707672692717397,none
1.0,1.0,2.0,0.7,3.0,true,0.9973072703700011,0.7637996639955886,0.6706771296919954,none
1.0,1.0,2.0,0.7,4.0,true,0.9964129135113591,0.7632719760926514,0.670587040440906,none
1.0,1.0,2.0,0.7,5.0,true,0.9955201592832256,0.7627450928123505,0.670497001445295,none
1.0,1.0,2.0,0.8,0.5,true,0.9998000399920016,0.7652697018124658,0.6709276419100729,none
1.0,1.0,2.0,0.8,1.0,true,0.9996001599360256,0.7651518687728521,0.670907586604685,none
1.0,1.0,2.0,0.8,2.0,true,0.9992006394884093,0.7649163229057407,0.6708674834770362,none
1.0,1.0,2.0,0.8,3.0,true,0.998801438274071,0.76468093717762,0.6708273903214947,none
1.0,1.0,2.0,0.8,4.0,true,0.998402555910543,0.7644457114161176,0.6707873071315938,none
1.0,1.0,2.0,0.8,5.0,true,0.998003992015968,0.7642106454491153,0.6707472339008741,none
1.0,1.0,2.0,0.9,0.5,true,0.9999500024998749,0.765358102906293,0.6709426850267124,none
1.0,1.0,2.0,0.9,1.0,true,0.9999000099990001,0.7653286333682355,0.6709376704985122,none
1.0,1.0,2.0,0.9,2.0,true,0.9998000399920016,0.7652697018124658,0.6709276419100729,none
1.0,1.0,2.0,0.9,3.0,true,0.9997000899730081,0.7652107802815715,0.6709176139454976,none
1.0,1.0,2.0,0.9,4.0,true,0.9996001599360256,0.7651518687728521,0.670907586604685,none
1.0,1.0,2.0,0.9,5.0,true,0.9995002498750625,0.7650929672836078,0.6708975598875339,none
1.0,1.0,2.0,0.95,0.5,true,0.999987500156248,0.7653802067051887,0.6709464460252393,none
1.0,1.0,2.0,0.95,1.0,true,0.9999750006249845,0.7653728386155128,0.6709451923493133,none
1.0,1.0,2.0,0.95,2.0,true,0.9999500024998749,0.765358102906293,0.6709426850267124,none
1.0,1.0,2.0,0.95,3.0,true,0.9999250056245781,0.7653433678238812,0.6709401777431125,none
1.0,1.0,2.0,0.95,4.0,true,0.9999000099990001,0.7653286333682355,0.6709376704985122,none
1.0,1.0,2.0,0.95,5.0,true,0.9998750156230471,0.7653138995393134,0.6709351632929097,none
1.0,1.0,2.0,1.0,0.5,true,1.0,0.7653875749515826,0.6709476997109165,none
1.0,1.0,2.0,1.0,1.0,true,1.0,0.7653875749515826,0.6709476997109165,none
1.0,1.0,2.0,1.0,2.0,true,1.0,0.7653875749515826,0.6709476997109165,none
1.0,1.0,2.0,1.0,3.0,true,1.0,0.7653875749515826,0.6709476997109165,none
1.0,1.0,2.0,1.0,4.0,true,1.0,0.7653875749515826,0.6709476997109165,none
1.0,1.0,2.0,1.0,5.0,true,1.0,0.7653875749515826,0.6709476997109165,none
1.0,1.0,2.0,1.05,0.5,true,0.999987500156248,0.7653802067051887,0.6709464460252393,none
1.0,1.0,2.0,1.05,1.0,true,0.9999750006249845,0.7653728386155128,0.6709451923493133,none
1.0,1.0,2.0,1.05,2.0,true,0.9999500024998749,0.765358102906293,0.6709426850267124,none
1.0,1.0,2.0,1.05,3.0,true,0.9999250056245781,0.7653433678238812,0.6709401777431125,none
1.0,1.0,2.0,1.05,4.0,true,0.9999000099990001,0.7653286333682355,0.6709376704985122,none
1.0,1.0,2.0,1.05,5.0,true,0.9998750156230471,0.7653138995393134,0.6709351632929097,none
1.0,1.0,2.0,1.1,0.5,true,0.9999500024998749,0.765358102906293,0.6709426850267124,none
1.0,1.0,2.0,1.1,1.0,true,0.9999000099990001,0.7653286333682355,0.6709376704985122,none
1.0,1.0,2.0,1.1,2.0,true,0.9998000399920016,0.7652697018124658,0.6709276419100729,none
1.0,1.0,2.0,1.1,3.0,true,0.9997000899730081,0.7652107802815715,0.6709176139454976,none
1.0,1.0,2.0,1.1,4.0,true,0.9996001599360256,0.7651518687728521,0.670907586604685,none
1.0,1.0,2.0,1.1,5.0,true,0.9995002498750625,0.7650929672836078,0.6708975598875339,none
1.0,1.0,2.0,1.2,0.5,true,0.9998000399920016,0.7652697018124658,0.6709276419100729,none
1.0,1.0,2.0,1.2,1.0,true,0.9996001599360256,0.7651518687728521,0.670907586604685,none
1.0,1.0,2.0,1.2,2.0,true,0.9992006394884093,0.7649163229057407,0.6708674834770362,none
1.0,1.0,2.0,1.2,3.0,true,0.998801438274071,0.76468093717762,0.6708273903214947,none
1.0,1.0,2.0,1.2,4.0,true,0.998402555910543,0.7644457114161176,0.6707873071315938,none
1.0,1.0,2.0,1.2,5.0,true,0.998003992015968,0.7642106454491153,0.6707472339008741,none
1.0,1.0,2.0,1.3,0.5,true,0.9995502024089159,0.7651224167759643,0.670902573168158,none
1.0,1.0,2.0,1.3,1.0,true,0.9991008092716556,0.764857461467418,0.6708574592535186,none
1.0,1.0,2.0,1.3,2.0,true,0.9982032341784787,0.7643281584690513,0.6707672692717397,none
1.0,1.0,2.0,1.3,3.0,true,0.9973072703700011,0.7637996639955886,0.6706771296919954,none
1.0,1.0,2.0,1.3,4.0,true,0.9964129135113591,0.7632719760926514,0.670587040440906,none
1.0,1.0,2.0,1.3,5.0,true,0.9955201592832256,0.7627450928123505,0.670497001445295,none
1.0,1.0,2.5,0.7,0.5,true,0.9995502024089159,0.726363173135261,0.6208151117550309,none
1.0,1.0,2.5,0.7,1.0,true,0.9991008092716556,0.7261147823762806,0.6207773758482209,none
1.0,1.0,2.5,0.7,2.0,true,0.9982032341784787,0.7256185641262403,0.6207019284688906,none
1.0,1.0,2.5,0.7,3.0,true,0.9973072703700011,0.7251230953996242,0.6206265136394304,none
1.0,1.0,2.5,0.7,4.0,true,0.9964129135113591,0.7246283744010654,0.6205511313248976,none
1.0,1.0,2.5,0.7,5.0,true,0.9955201592832256,0.7241343993411152,0.6204757814904356,none
1.0,1.0,2.5,0.8,0.5,true,0.9998000399920016,0.7265012492460131,0.620836079669291,none
1.0,1.0,2.5,0.8,1.0,true,0.9996001599360256,0.7263907837127942,0.6208193051366091,none
1.0,1.0,2.5,0.8,2.0,true,0.9992006394884093,0.7261699640824628,0.6207857609011407,none
1.0,1.0,2.5,0.8,3.0,true,0.998801438274071,0.7259492929014837,0.6207522231029645,none
1.0,1.0,2.5,0.8,4.0,true,0.998402555910543,0.7257287700115147,0.6207186917390024,none
1.0,1.0,2.5,0.8,5.0,true,0.998003992015968,0.7255083952544448,0.6206851668061792,none
1.0,1.0,2.5,0.9,0.5,true,0.9999500024998749,0.7265841227888499,0.6208486616256582,none
1.0,1.0,2.5,0.9,1.0,true,0.9999000099990001,0.7265564959508151,0.6208444675395375,none
1.0,1.0,2.5,0.9,2.0,true,0.9998000399920016,0.7265012492460131,0.620836079669291,none
1.0,1.0,2.5,0.9,3.0,true,0.9997000899730081,0.7264460118341665,0.6208276922016643,none
1.0,1.0,2.5,0.9,4.0,true,0.9996001599360256,0.7263907837127942,0.6208193051366091,none
1.0,1.0,2.5,0.9,5.0,true,0.9995002498750625,0.7263355648794165,0.6208109184740774,none
1.0,1.0,2.5,0.95,0.5,true,0.999987500156248,0.7266048444425954,0.6208518072563152,none
1.0,1.0,2.5,0.95,1.0,true,0.9999750006249845,0.7265979370794116,0.6208507587064706,none
1.0,1.0,2.5,0.95,2.0,true,0.9999500024998749,0.7265841227888499,0.6208486616256582,none
1.0,1.0,2.5,0.95,3.0,true,0.9999250056245781,0.7265703090793308,0.6208465645700142,none
1.0,1.0,2.5,0.95,4.0,true,0.9999000099990001,0.7265564959508151,0.6208444675395375,none
1.0,1.0,2.5,0.95,5.0,true,0.9998750156230471,0.7265426834032644,0.6208423705342277,none
1.0,1.0,2.5,1.0,0.5,true,1.0,0.7266117519510544,0.620852855812452,none
1.0,1.0,2.5,1.0,1.0,true,1.0,0.7266117519510544,0.620852855812452,none
1.0,1.0,2.5,1.0,2.0,true,1.0,0.7266117519510544,0.620852855812452,none
1.0,1.0,2.5,1.0,3.0,true,1.0,0.7266117519510544,0.620852855812452,none
1.0,1.0,2.5,1.0,4.0,true,1.0,0.7266117519510544,0.620852855812452,none
1.0,1.0,2.5,1.0,5.0,true,1.0,0.7266117519510544,0.620852855812452,none
1.0,1.0,2.5,1.05,0.5,true,0.999987500156248,0.7266048444425954,0.6208518072563152,none
1.0,1.0,2.5,1.05,1.0,true,0.9999750006249845,0.7265979370794116,0.6208507587064706,none
1.0,1.0,2.5,1.05,2.0,true,0.9999500024998749,0.7265841227888499,0.6208486616256582,none
1.0,1.0,2.5,1.05,3.0,true,0.9999250056245781,0.7265703090793308,0.6208465645700142,none
1.0,1.0,2.5,1.05,4.0,true,0.9999000099990001,0.7265564959508151,0.6208444675395375,none
1.0,1.0,2.5,1.05,5.0,true,0.9998750156230471,0.7265426834032644,0.6208423705342277,none
1.0,1.0,2.5,1.1,0.5,true,0.9999500024998749,0.7265841227888499,0.6208486616256582,none
1.0,1.0,2.5,1.1,1.0,true,0.9999000099990001,0.7265564959508151,0.6208444675395375,none
1.0,1.0,2.5,1.1,2.0,true,0.9998000399920016,0.7265012492460131,0.620836079669291,none
1.0,1.0,2.5,1.1,3.0,true,0.9997000899730081,0.7264460118341665,0.6208276922016643,none
1.0,1.0,2.5,1.1,4.0,true,0.9996001599360256,0.7263907837127942,0.6208193051366091,none
1.0,1.0,2.5,1.1,5.0,true,0.9995002498750625,0.7263355648794165,0.6208109184740774,none
1.0,1.0,2.5,1.2,0.5,true,0.9998000399920016,0.7265012492460131,0.620836079669291,none
1.0,1.0,2.5,1.2,1.0,true,0.9996001599360256,0.7263907837127942,0.6208193051366091,none
1.0,1.0,2.5,1.2,2.0,true,0.9992006394884093,0.7261699640824628,0.6207857609011407,none
1.0,1.0,2.5,1.2,3.0,true,0.998801438274071,0.7259492929014837,0.6207522231029645,none
1.0,1.0,2.5,1.2,4.0,true,0.998402555910543,0.7257287700115147,0.6207186917390024,none
1.0,1.0,2.5,1.2,5.0,true,0.998003992015968,0.7255083952544448,0.6206851668061792,none
1.0,1.0,2.5,1.3,0.5,true,0.9995502024089159,0.726363173135261,0.6208151117550309,none
1.0,1.0,2.5,1.3,1.0,true,0.9991008092716556,0.7261147823762806,0.6207773758482209,none
1.0,1.0,2.5,1.3,2.0,true,0.9982032341784787,0.7256185641262403,0.6207019284688906,none
1.0,1.0,2.5,1.3,3.0,true,0.9973072703700011,0.7251230953996242,0.6206265136394304,none
1.0,1.0,2.5,1.3,4.0,true,0.9964129135113591,0.7246283744010654,0.6205511313248976,none
1.0,1.0,2.5,1.3,5.0,true,0.9955201592832256,0.7241343993411152,0.6204757814904356,none
